Tempo-adjusted total fertility rates by birth order, Bongaarts-Feeney method
Last modified: 11/06/2020
Code Year    adjTFR   adjTFR1   adjTFR2   adjTFR3   adjTFR4  adjTFR5p
DEUTNP  2010     1.675     0.824     0.580     0.190     0.054     0.027
DEUTNP  2011     1.597     0.793     0.548     0.178     0.051     0.028
DEUTNP  2012     1.594     0.807     0.542     0.170     0.049     0.026
DEUTNP  2013     1.631     0.840     0.549     0.169     0.048     0.025
DEUTNP  2014     1.598     0.829     0.527     0.168     0.048     0.027
DEUTNP  2015     1.485     0.752     0.505     0.157     0.045     0.025
DEUTNP  2016     1.647     0.825     0.557     0.178     0.055     0.032
DEUTW  2010     1.671     0.813     0.581     0.197     0.055     0.026
DEUTW  2011     1.584     0.777     0.548     0.180     0.052     0.027
DEUTW  2012     1.590     0.796     0.545     0.174     0.050     0.026
DEUTW  2013     1.624     0.826     0.552     0.174     0.047     0.024
DEUTW  2014     1.585     0.812     0.527     0.171     0.048     0.026
DEUTW  2015     1.484     0.745     0.508     0.160     0.047     0.024
DEUTW  2016     1.644     0.813     0.561     0.184     0.055     0.030
DEUTE  1957     2.049     0.796     0.616     0.336     0.161     0.140
DEUTE  1958     1.989     0.721     0.606     0.338     0.172     0.152
DEUTE  1959     2.106     0.754     0.608     0.370     0.187     0.187
DEUTE  1960     2.150     0.808     0.576     0.369     0.190     0.206
DEUTE  1961     2.232     0.876     0.565     0.364     0.197     0.229
DEUTE  1962     2.319     0.922     0.603     0.359     0.196     0.240
DEUTE  1963     2.420     0.948     0.654     0.363     0.202     0.252
DEUTE  1964     2.380     0.957     0.633     0.335     0.189     0.267
DEUTE  1965     2.362     0.984     0.643     0.316     0.178     0.241
DEUTE  1966     2.342     0.965     0.675     0.329     0.172     0.201
DEUTE  1967     2.280     0.952     0.655     0.322     0.161     0.189
DEUTE  1968     2.279     0.911     0.681     0.334     0.171     0.182
DEUTE  1969     2.316     0.901     0.712     0.365     0.180     0.159
DEUTE  1970     2.273     0.916     0.703     0.361     0.154     0.139
DEUTE  1971     2.271     0.930     0.722     0.334     0.140     0.144
DEUTE  1972     1.887     0.915     0.605     0.199     0.078     0.090
DEUTE  1973     1.616     0.888     0.506     0.122     0.041     0.060
DEUTE  1974     1.570     0.882     0.480     0.116     0.039     0.053
DEUTE  1975     1.559     0.900     0.490     0.098     0.035     0.036
DEUTE  1976     1.669     0.923     0.568     0.110     0.037     0.031
DEUTE  1977     1.830     0.920     0.708     0.130     0.042     0.030
DEUTE  1978     1.811     0.923     0.685     0.138     0.038     0.027
DEUTE  1979     1.773     0.922     0.643     0.146     0.037     0.024
DEUTE  1980     1.841     0.966     0.657     0.155     0.041     0.021
DEUTE  1981     1.854     0.955     0.677     0.159     0.041     0.022
DEUTE  1982     1.880     0.942     0.701     0.170     0.044     0.023
DEUTE  1983     1.803     0.892     0.671     0.172     0.045     0.024
DEUTE  1984     1.744     0.862     0.649     0.166     0.043     0.023
DEUTE  1985     1.812     0.873     0.662     0.202     0.049     0.026
DEUTE  1986     1.899     0.908     0.685     0.220     0.058     0.028
DEUTE  1987     1.926     0.905     0.704     0.229     0.059     0.029
DEUTE  1988     1.805     0.861     0.663     0.203     0.051     0.028
DEUTE  2010     1.612     0.806     0.573     0.160     0.046     0.027
DEUTE  2011     1.602     0.812     0.552     0.166     0.041     0.030
DEUTE  2012     1.599     0.840     0.526     0.161     0.042     0.030
DEUTE  2013     1.671     0.893     0.554     0.146     0.050     0.028
DEUTE  2014     1.685     0.915     0.543     0.153     0.045     0.030
DEUTE  2015     1.525     0.809     0.497     0.149     0.042     0.029
DEUTE  2016     1.725     0.920     0.556     0.156     0.055     0.038
HUN  1953     2.833     0.974     0.864     0.493     0.227     0.275
HUN  1954     2.707     0.877     0.845     0.446     0.238     0.301
HUN  1955     2.435     0.897     0.712     0.364     0.197     0.266
HUN  1956     2.153     0.858     0.613     0.303     0.158     0.220
HUN  1957     2.008     0.861     0.592     0.243     0.116     0.196
HUN  1958     2.024     0.919     0.616     0.223     0.104     0.163
HUN  1959     1.910     0.879     0.572     0.215     0.102     0.141
HUN  1960     1.920     0.870     0.573     0.242     0.093     0.142
HUN  1961     1.954     0.901     0.582     0.235     0.098     0.139
HUN  1962     1.936     0.889     0.589     0.231     0.108     0.118
HUN  1963     2.005     0.840     0.683     0.255     0.100     0.127
HUN  1964     1.859     0.830     0.602     0.218     0.096     0.114
HUN  1965     1.832     0.854     0.558     0.207     0.098     0.115
HUN  1966     1.933     0.897     0.604     0.208     0.090     0.135
HUN  1967     2.028     0.946     0.673     0.198     0.089     0.122
HUN  1968     2.070     0.956     0.705     0.198     0.087     0.125
HUN  1969     2.003     0.966     0.661     0.190     0.071     0.115
HUN  1970     1.874     0.911     0.633     0.167     0.068     0.096
HUN  1971     1.830     0.877     0.627     0.161     0.062     0.103
HUN  1972     1.880     0.895     0.651     0.172     0.060     0.102
HUN  1973     1.898     0.882     0.651     0.202     0.069     0.094
HUN  1974     2.201     0.891     0.875     0.269     0.081     0.085
HUN  1975     2.191     0.882     0.901     0.251     0.078     0.080
HUN  1976     2.076     0.948     0.760     0.225     0.069     0.074
HUN  1977     2.026     0.976     0.713     0.218     0.058     0.062
HUN  1978     1.920     0.955     0.691     0.179     0.046     0.049
HUN  1979     1.926     0.960     0.695     0.179     0.044     0.049
HUN  1980     1.958     0.971     0.709     0.185     0.047     0.046
HUN  1981     1.988     0.948     0.741     0.203     0.055     0.042
HUN  1982     1.936     0.917     0.736     0.194     0.050     0.038
HUN  1983     1.898     0.913     0.714     0.182     0.052     0.036
HUN  1984     1.909     0.931     0.691     0.198     0.055     0.034
HUN  1985     2.104     0.956     0.786     0.250     0.068     0.043
HUN  1986     2.114     0.920     0.811     0.250     0.082     0.051
HUN  1987     2.003     0.931     0.720     0.236     0.071     0.045
HUN  1988     1.949     0.905     0.699     0.230     0.064     0.052
HUN  1989     1.905     0.821     0.721     0.246     0.070     0.048
HUN  1990     1.989     0.856     0.729     0.278     0.077     0.048
HUN  1991     2.029     0.926     0.700     0.272     0.078     0.054
HUN  1992     1.928     0.863     0.696     0.240     0.075     0.055
HUN  1993     1.901     0.811     0.698     0.253     0.082     0.057
HUN  1994     1.886     0.837     0.626     0.273     0.087     0.063
HUN  1995     1.891     0.853     0.637     0.258     0.075     0.069
HUN  1996     1.752     0.802     0.595     0.217     0.069     0.069
HUN  1997     1.695     0.779     0.578     0.198     0.074     0.065
HUN  1998     1.748     0.836     0.568     0.208     0.079     0.057
HUN  1999     1.704     0.794     0.541     0.236     0.075     0.058
HUN  2000     1.763     0.760     0.612     0.254     0.073     0.065
HUN  2001     1.756     0.763     0.599     0.251     0.075     0.068
HUN  2002     1.716     0.834     0.530     0.223     0.071     0.059
HUN  2003     1.758     0.867     0.550     0.212     0.071     0.058
HUN  2004     1.803     0.920     0.539     0.221     0.069     0.054
HUN  2005     1.707     0.887     0.507     0.203     0.061     0.050
HUN  2006     1.701     0.813     0.587     0.182     0.067     0.051
HUN  2007     1.552     0.727     0.539     0.178     0.060     0.048
HUN  2008     1.574     0.739     0.535     0.195     0.056     0.049
HUN  2009     1.715     0.826     0.589     0.192     0.056     0.051
HUN  2010     1.526     0.752     0.503     0.170     0.056     0.045
HUN  2011     1.313     0.617     0.431     0.173     0.053     0.039
HUN  2012     1.337     0.609     0.434     0.189     0.058     0.047
HUN  2013     1.383     0.637     0.441     0.200     0.060     0.045
HUN  2014     1.557     0.753     0.497     0.200     0.061     0.045
HUN  2015     1.520     0.753     0.474     0.183     0.058     0.051
HUN  2016     1.563     0.803     0.461     0.199     0.052     0.049
ISL  1991     2.920     1.139     0.692     0.642     0.380     0.067
ISL  1992     2.444     1.013     0.646     0.542     0.184     0.060
ISL  1993     2.433     0.908     0.831     0.472     0.144     0.078
ISL  1994     2.484     0.851     0.979     0.455     0.155     0.044
ISL  1995     2.426     0.808     0.847     0.569     0.141     0.060
ISL  1996     2.266     0.803     0.765     0.490     0.160     0.048
ISL  1997     2.182     0.880     0.690     0.374     0.198     0.040
ISL  1998     2.198     0.794     0.780     0.391     0.185     0.048
ISL  1999     2.360     0.910     0.805     0.459     0.124     0.062
ISL  2000     2.713     1.202     0.815     0.508     0.131     0.057
ISL  2001     2.461     1.113     0.676     0.498     0.153     0.022
ISL  2002     2.296     0.897     0.870     0.372     0.124     0.032
ISL  2003     2.289     0.864     0.857     0.410     0.099     0.060
ISL  2004     2.136     0.901     0.671     0.443     0.104     0.017
ISL  2005     2.175     0.906     0.748     0.372     0.115     0.034
ISL  2006     2.308     1.007     0.758     0.415     0.100     0.027
ISL  2007     2.312     0.858     0.886     0.422     0.122     0.024
ISL  2008     2.502     0.893     0.975     0.469     0.115     0.049
ISL  2009     2.415     1.063     0.710     0.524     0.095     0.024
ISL  2010     2.409     1.027     0.697     0.510     0.127     0.048
ISL  2011     2.191     0.844     0.723     0.459     0.143     0.021
ISL  2012     2.400     0.954     0.832     0.482     0.115     0.018
ISL  2013     2.137     0.938     0.666     0.389     0.108     0.037
ISL  2014     1.958     0.789     0.689     0.350     0.080     0.049
ISL  2015     2.090     0.828     0.768     0.350     0.104     0.041
ISL  2016     2.127     0.837     0.792     0.365     0.105     0.029
ISL  2017     2.126     0.946     0.738     0.314     0.115     0.012
ITA  2005     1.457     0.824     0.497     0.116     0.018     0.003
ITA  2006     1.466     0.855     0.491     0.105     0.013     0.002
ITA  2007     1.452     0.810     0.500     0.121     0.017     0.003
ITA  2008     1.534     0.815     0.549     0.138     0.026     0.006
ITA  2009     1.579     0.856     0.567     0.125     0.026     0.006
ITA  2010     1.595     0.864     0.570     0.130     0.026     0.005
ITA  2011     1.542     0.883     0.505     0.126     0.023     0.005
ITA  2012     1.518     0.843     0.507     0.132     0.028     0.008
ITA  2013     1.483     0.766     0.532     0.140     0.033     0.011
ITA  2014     1.485     0.751     0.543     0.142     0.034     0.014
ITA  2015     1.511     0.748     0.559     0.155     0.038     0.011
ITA  2016     1.489     0.744     0.548     0.153     0.035     0.009
JPN  1969     2.061     0.910     0.804     0.281     0.048     0.017
JPN  1970     2.051     0.902     0.803     0.283     0.048     0.016
JPN  1971     2.049     0.880     0.818     0.286     0.047     0.017
JPN  1972     2.036     0.894     0.790     0.290     0.047     0.016
JPN  1973     2.051     0.910     0.775     0.297     0.051     0.018
JPN  1974     2.015     0.928     0.756     0.267     0.046     0.017
JPN  1975     1.939     0.920     0.751     0.220     0.035     0.014
JPN  1976     1.940     0.910     0.768     0.216     0.033     0.014
JPN  1977     1.921     0.871     0.783     0.222     0.033     0.012
JPN  1978     1.896     0.834     0.788     0.232     0.031     0.012
JPN  1979     1.878     0.822     0.769     0.246     0.031     0.010
JPN  1980     1.886     0.842     0.749     0.254     0.032     0.009
JPN  1981     1.885     0.859     0.728     0.256     0.033     0.009
JPN  1982     1.906     0.854     0.737     0.270     0.036     0.009
JPN  1983     1.939     0.867     0.749     0.276     0.038     0.009
JPN  1984     1.971     0.887     0.755     0.279     0.040     0.009
JPN  1985     1.970     0.879     0.758     0.285     0.040     0.009
JPN  1986     1.951     0.865     0.747     0.290     0.039     0.010
JPN  1987     1.935     0.834     0.755     0.296     0.041     0.010
JPN  1988     1.915     0.802     0.757     0.304     0.044     0.009
JPN  1989     1.817     0.769     0.708     0.290     0.041     0.009
JPN  1990     1.746     0.738     0.675     0.281     0.042     0.009
JPN  1991     1.731     0.767     0.644     0.271     0.042     0.009
JPN  1992     1.720     0.790     0.623     0.256     0.042     0.009
JPN  1993     1.671     0.777     0.608     0.238     0.038     0.009
JPN  1994     1.694     0.795     0.619     0.230     0.040     0.010
JPN  1995     1.605     0.754     0.593     0.212     0.038     0.009
JPN  1996     1.593     0.730     0.610     0.209     0.035     0.009
JPN  1997     1.514     0.684     0.585     0.201     0.034     0.010
JPN  1998     1.491     0.680     0.576     0.192     0.033     0.009
JPN  1999     1.426     0.671     0.534     0.181     0.032     0.008
JPN  2000     1.410     0.680     0.513     0.177     0.032     0.008
JPN  2001     1.402     0.697     0.500     0.167     0.030     0.009
JPN  2002     1.458     0.778     0.492     0.152     0.027     0.008
JPN  2003     1.454     0.781     0.498     0.142     0.025     0.008
JPN  2004     1.430     0.745     0.516     0.137     0.024     0.008
JPN  2005     1.377     0.697     0.513     0.136     0.023     0.007
JPN  2006     1.469     0.731     0.553     0.153     0.024     0.007
JPN  2007     1.455     0.729     0.535     0.158     0.025     0.007
JPN  2008     1.486     0.752     0.533     0.165     0.028     0.007
JPN  2009     1.543     0.812     0.529     0.167     0.028     0.008
JPN  2010     1.536     0.793     0.537     0.169     0.030     0.008
JPN  2011     1.586     0.798     0.570     0.177     0.032     0.009
JPN  2012     1.657     0.827     0.602     0.184     0.034     0.010
JPN  2013     1.635     0.796     0.605     0.188     0.035     0.010
JPN  2014     1.614     0.789     0.583     0.195     0.036     0.011
JPN  2015     1.615     0.788     0.574     0.203     0.038     0.011
JPN  2016     1.544     0.738     0.558     0.196     0.039     0.012
JPN  2017     1.515     0.706     0.564     0.191     0.040     0.013
LTU  1971     2.253     1.003     0.770     0.267     0.108     0.105
LTU  1972     2.234     1.013     0.741     0.271     0.107     0.103
LTU  1973     2.058     0.935     0.707     0.232     0.095     0.089
LTU  1974     2.018     0.899     0.726     0.224     0.086     0.083
LTU  1975     2.047     0.899     0.713     0.245     0.101     0.089
LTU  1976     1.980     0.870     0.704     0.232     0.086     0.087
LTU  1977     1.990     0.873     0.721     0.245     0.071     0.080
LTU  1978     1.980     0.920     0.680     0.218     0.082     0.081
LTU  1979     1.828     0.876     0.625     0.189     0.065     0.073
LTU  1980     2.297     1.153     0.767     0.236     0.071     0.070
LTU  1981     2.406     1.188     0.802     0.245     0.097     0.075
LTU  1982     1.920     0.881     0.714     0.188     0.066     0.071
LTU  1983     2.076     0.916     0.803     0.229     0.064     0.064
LTU  1984     1.902     0.868     0.680     0.221     0.072     0.060
LTU  1985     2.030     0.939     0.733     0.217     0.072     0.069
LTU  1986     2.176     0.966     0.790     0.267     0.078     0.076
LTU  1987     1.630     0.781     0.584     0.160     0.062     0.043
LTU  1988     1.451     0.719     0.516     0.134     0.044     0.038
LTU  1989     1.742     0.848     0.621     0.176     0.048     0.048
LTU  1990     1.851     0.887     0.684     0.186     0.056     0.038
LTU  1991     1.811     0.915     0.623     0.184     0.054     0.034
LTU  1992     1.977     0.989     0.668     0.229     0.052     0.038
LTU  1993     1.680     0.863     0.582     0.159     0.042     0.034
LTU  1994     1.561     0.815     0.534     0.133     0.049     0.030
LTU  1995     1.768     0.866     0.609     0.197     0.059     0.038
LTU  1996     1.740     0.847     0.638     0.175     0.043     0.037
LTU  1997     1.795     0.909     0.637     0.161     0.047     0.041
LTU  1998     1.748     0.870     0.600     0.158     0.071     0.049
LTU  1999     1.693     0.814     0.604     0.176     0.060     0.038
LTU  2000     1.682     0.817     0.575     0.193     0.053     0.044
LTU  2001     1.534     0.749     0.536     0.157     0.040     0.052
LTU  2002     1.456     0.683     0.536     0.145     0.052     0.040
LTU  2003     1.707     0.817     0.598     0.195     0.059     0.039
LTU  2004     1.692     0.798     0.620     0.190     0.036     0.048
LTU  2005     1.630     0.741     0.621     0.171     0.060     0.037
LTU  2006     1.806     0.876     0.628     0.175     0.087     0.039
LTU  2007     1.836     0.957     0.599     0.184     0.057     0.039
LTU  2008     2.056     1.123     0.670     0.185     0.038     0.039
LTU  2009     2.185     1.286     0.659     0.152     0.043     0.045
LTU  2010     1.773     0.947     0.587     0.161     0.039     0.039
LTU  2011     1.685     0.782     0.637     0.189     0.049     0.028
LTU  2012     1.891     0.826     0.754     0.212     0.065     0.034
LTU  2013     1.979     0.896     0.780     0.215     0.046     0.042
LTU  2014     1.938     0.914     0.752     0.192     0.044     0.036
LTU  2015     1.960     0.952     0.715     0.216     0.045     0.033
LTU  2016     2.003     0.987     0.698     0.221     0.059     0.039
NLD  1951     2.885     0.734     0.670     0.505     0.322     0.654
NLD  1952     3.017     0.827     0.697     0.515     0.353     0.625
NLD  1953     2.929     0.814     0.679     0.490     0.348     0.599
NLD  1954     2.907     0.829     0.692     0.464     0.319     0.603
NLD  1955     2.889     0.834     0.702     0.482     0.309     0.562
NLD  1956     2.872     0.832     0.717     0.466     0.306     0.551
NLD  1957     2.896     0.865     0.724     0.467     0.306     0.534
NLD  1958     2.943     0.895     0.743     0.490     0.297     0.518
NLD  1959     2.953     0.894     0.769     0.492     0.298     0.500
NLD  1960     2.852     0.841     0.776     0.475     0.287     0.472
NLD  1961     2.924     0.871     0.783     0.509     0.299     0.461
NLD  1962     2.881     0.881     0.767     0.514     0.288     0.430
NLD  1963     2.982     0.909     0.818     0.523     0.306     0.426
NLD  1964     3.065     0.936     0.833     0.544     0.326     0.426
NLD  1965     2.994     0.935     0.825     0.533     0.315     0.386
NLD  1966     2.836     0.935     0.800     0.508     0.275     0.318
NLD  1967     2.666     0.944     0.790     0.441     0.235     0.257
NLD  1968     2.492     0.897     0.791     0.402     0.193     0.210
NLD  1969     2.605     0.879     0.869     0.454     0.198     0.206
NLD  1970     2.503     0.865     0.842     0.424     0.189     0.183
NLD  1971     2.293     0.889     0.749     0.362     0.150     0.143
NLD  1972     2.184     0.920     0.719     0.307     0.130     0.107
NLD  1973     1.960     0.845     0.683     0.247     0.097     0.089
NLD  1974     1.866     0.846     0.695     0.203     0.061     0.060
NLD  1975     1.772     0.842     0.669     0.168     0.049     0.043
NLD  1976     1.740     0.788     0.682     0.173     0.052     0.045
NLD  1977     1.713     0.753     0.688     0.181     0.050     0.041
NLD  1978     1.724     0.765     0.684     0.196     0.043     0.035
NLD  1979     1.701     0.745     0.659     0.210     0.049     0.038
NLD  1980     1.735     0.745     0.654     0.229     0.063     0.043
NLD  1981     1.742     0.758     0.639     0.239     0.063     0.043
NLD  1982     1.731     0.762     0.626     0.242     0.062     0.038
NLD  1983     1.726     0.779     0.614     0.232     0.061     0.041
NLD  1984     1.818     0.841     0.628     0.240     0.066     0.042
NLD  1985     1.911     0.892     0.666     0.240     0.069     0.044
NLD  1986     1.973     0.907     0.705     0.246     0.067     0.049
NLD  1987     1.937     0.854     0.716     0.252     0.068     0.047
NLD  1988     1.867     0.789     0.700     0.256     0.073     0.049
NLD  1989     1.884     0.793     0.694     0.273     0.072     0.051
NLD  1990     1.965     0.857     0.703     0.285     0.073     0.047
NLD  1991     1.962     0.888     0.682     0.273     0.077     0.042
NLD  1992     1.943     0.882     0.677     0.266     0.077     0.042
NLD  1993     1.825     0.804     0.683     0.232     0.067     0.038
NLD  1994     1.799     0.812     0.652     0.230     0.065     0.041
NLD  1995     1.820     0.842     0.641     0.235     0.067     0.034
NLD  1996     1.715     0.774     0.615     0.232     0.063     0.032
NLD  1997     1.709     0.792     0.615     0.214     0.055     0.034
NLD  1998     1.750     0.810     0.630     0.214     0.061     0.035
NLD  1999     1.706     0.759     0.626     0.214     0.079     0.029
NLD  2000     1.775     0.807     0.655     0.226     0.063     0.023
NLD  2001     1.767     0.839     0.637     0.210     0.052     0.029
NLD  2002     1.817     0.882     0.637     0.212     0.057     0.029
NLD  2003     1.882     0.922     0.656     0.223     0.053     0.027
NLD  2004     1.830     0.899     0.646     0.204     0.053     0.028
NLD  2005     1.771     0.861     0.634     0.198     0.052     0.026
NLD  2006     1.786     0.828     0.663     0.216     0.055     0.025
NLD  2007     1.807     0.835     0.668     0.221     0.055     0.027
NLD  2008     1.883     0.876     0.679     0.242     0.060     0.026
NLD  2009     1.901     0.900     0.673     0.246     0.060     0.022
NLD  2010     1.902     0.913     0.679     0.227     0.059     0.025
NLD  2011     1.834     0.866     0.673     0.213     0.056     0.026
NLD  2012     1.813     0.855     0.667     0.217     0.052     0.023
NLD  2013     1.833     0.864     0.665     0.220     0.059     0.024
NLD  2014     1.882     0.894     0.666     0.231     0.063     0.028
NLD  2015     1.817     0.845     0.650     0.234     0.061     0.027
NOR  1968     2.575     0.887     0.724     0.526     0.262     0.176
NOR  1969     2.493     0.826     0.731     0.509     0.240     0.188
NOR  1970     2.403     0.827     0.750     0.454     0.224     0.148
NOR  1971     2.440     0.887     0.756     0.449     0.213     0.135
NOR  1972     2.414     0.917     0.783     0.423     0.182     0.110
NOR  1973     2.339     0.929     0.764     0.374     0.162     0.110
NOR  1974     2.200     0.905     0.754     0.329     0.124     0.089
NOR  1975     2.204     0.902     0.801     0.320     0.121     0.060
NOR  1976     2.163     0.881     0.783     0.335     0.101     0.062
NOR  1977     2.065     0.888     0.738     0.308     0.079     0.052
NOR  1978     1.943     0.846     0.693     0.277     0.085     0.043
NOR  1979     1.901     0.789     0.710     0.286     0.081     0.035
NOR  1980     1.929     0.822     0.711     0.293     0.070     0.033
NOR  1981     1.872     0.808     0.679     0.275     0.077     0.033
NOR  1982     2.009     0.871     0.745     0.281     0.085     0.028
NOR  1983     1.948     0.859     0.695     0.295     0.074     0.026
NOR  1984     1.901     0.819     0.687     0.289     0.076     0.030
NOR  1985     1.934     0.851     0.698     0.285     0.070     0.031
NOR  1986     1.988     0.876     0.720     0.301     0.064     0.028
NOR  1987     2.017     0.856     0.756     0.313     0.071     0.022
NOR  1988     2.090     0.901     0.769     0.332     0.065     0.024
NOR  1989     2.126     0.911     0.739     0.364     0.084     0.028
NOR  1990     2.241     0.968     0.760     0.385     0.100     0.028
NOR  1991     2.192     0.954     0.768     0.353     0.085     0.032
NOR  1992     2.137     0.886     0.763     0.361     0.094     0.033
NOR  1993     2.159     0.914     0.738     0.375     0.101     0.031
NOR  1994     2.137     0.897     0.755     0.353     0.100     0.032
NOR  1995     2.111     0.825     0.810     0.355     0.088     0.033
NOR  1996     2.116     0.868     0.765     0.353     0.093     0.037
NOR  1997     2.115     0.896     0.751     0.341     0.098     0.030
NOR  1998     2.046     0.867     0.739     0.326     0.081     0.034
NOR  1999     2.010     0.842     0.713     0.331     0.082     0.042
NOR  2000     2.061     0.863     0.744     0.336     0.085     0.033
NOR  2001     2.063     0.884     0.739     0.323     0.087     0.030
NOR  2002     2.066     0.935     0.730     0.290     0.076     0.034
NOR  2003     2.084     0.967     0.710     0.306     0.067     0.035
NOR  2004     1.991     0.906     0.690     0.289     0.075     0.031
NOR  2005     1.971     0.842     0.726     0.295     0.081     0.027
NOR  2006     2.041     0.861     0.754     0.319     0.079     0.028
NOR  2007     1.998     0.865     0.719     0.307     0.074     0.033
NOR  2008     2.085     0.936     0.731     0.312     0.070     0.036
NOR  2009     2.179     0.977     0.787     0.304     0.079     0.033
NOR  2010     2.210     1.036     0.781     0.294     0.081     0.018
NOR  2011     2.124     1.008     0.740     0.295     0.061     0.020
NOR  2012     2.125     0.942     0.741     0.296     0.066     0.079
NOR  2013     2.150     0.916     0.766     0.296     0.074     0.098
NOR  2014     2.039     0.908     0.768     0.268     0.063     0.032
NOR  2015     1.963     0.877     0.742     0.254     0.062     0.028
NOR  2016     1.951     0.899     0.715     0.258     0.051     0.027
NOR  2017     1.848     0.873     0.650     0.245     0.055     0.025
POL  1972     2.397     0.907     0.734     0.364     0.181     0.211
POL  1973     2.237     0.866     0.676     0.341     0.164     0.190
POL  1974     2.194     0.844     0.674     0.329     0.159     0.187
POL  1975     2.229     0.873     0.700     0.327     0.155     0.175
POL  1976     2.252     0.901     0.715     0.326     0.149     0.162
POL  1977     2.159     0.882     0.707     0.300     0.134     0.134
POL  1978     2.142     0.884     0.707     0.299     0.128     0.125
POL  1979     2.226     0.914     0.741     0.310     0.131     0.131
POL  1980     2.216     0.915     0.741     0.313     0.126     0.121
POL  1981     2.203     0.880     0.729     0.341     0.132     0.120
POL  1982     2.339     0.935     0.790     0.361     0.133     0.121
POL  1983     2.405     0.957     0.864     0.354     0.127     0.103
POL  1984     2.349     0.953     0.801     0.358     0.138     0.098
POL  1985     2.288     0.927     0.773     0.354     0.139     0.095
POL  1986     2.145     0.855     0.736     0.336     0.123     0.094
POL  1987     2.101     0.840     0.719     0.330     0.119     0.093
POL  1988     2.096     0.838     0.712     0.334     0.123     0.088
POL  1989     2.078     0.827     0.704     0.342     0.122     0.084
POL  1990     2.066     0.847     0.675     0.331     0.125     0.087
POL  1991     2.140     0.904     0.670     0.337     0.135     0.093
POL  1992     2.155     0.886     0.674     0.346     0.151     0.098
POL  1993     2.181     0.828     0.704     0.380     0.161     0.108
POL  1994     2.114     0.795     0.702     0.364     0.145     0.108
POL  1995     1.985     0.757     0.678     0.319     0.130     0.100
POL  1996     1.961     0.767     0.665     0.302     0.127     0.101
POL  1997     1.842     0.752     0.606     0.281     0.112     0.091
POL  1998     1.737     0.744     0.552     0.249     0.100     0.091
POL  1999     1.683     0.755     0.513     0.227     0.099     0.089
POL  2000     1.734     0.794     0.542     0.224     0.092     0.082
POL  2001     1.694     0.779     0.550     0.206     0.084     0.076
POL  2002     1.602     0.756     0.512     0.190     0.075     0.070
POL  2003     1.600     0.791     0.495     0.179     0.069     0.066
POL  2004     1.592     0.776     0.524     0.172     0.064     0.056
POL  2005     1.529     0.730     0.537     0.163     0.053     0.046
POL  2006     1.473     0.708     0.517     0.151     0.051     0.045
POL  2007     1.474     0.704     0.524     0.155     0.052     0.039
POL  2008     1.615     0.804     0.563     0.165     0.049     0.034
POL  2009     1.691     0.892     0.567     0.159     0.041     0.032
POL  2010     1.588     0.831     0.544     0.145     0.040     0.027
POL  2011     1.399     0.704     0.498     0.137     0.037     0.023
POL  2012     1.387     0.680     0.511     0.139     0.035     0.022
POL  2013     1.397     0.710     0.497     0.134     0.036     0.020
POL  2014     1.460     0.757     0.510     0.139     0.035     0.019
POL  2015     1.419     0.752     0.491     0.128     0.032     0.016
PRT  1960     3.037     1.005     0.634     0.427     0.289     0.682
PRT  1961     3.072     0.964     0.644     0.447     0.302     0.715
PRT  1962     3.251     1.039     0.701     0.448     0.293     0.769
PRT  1963     3.168     0.961     0.730     0.449     0.307     0.722
PRT  1964     3.246     0.945     0.765     0.459     0.321     0.756
PRT  1965     3.139     0.932     0.724     0.453     0.306     0.725
PRT  1966     3.131     0.914     0.712     0.470     0.312     0.723
PRT  1967     3.249     0.977     0.744     0.476     0.311     0.741
PRT  1968     3.149     0.980     0.725     0.426     0.309     0.708
PRT  1969     3.136     0.983     0.729     0.427     0.289     0.708
PRT  1970     3.169     0.994     0.770     0.421     0.279     0.706
PRT  1971     3.115     0.990     0.798     0.408     0.256     0.664
PRT  1972     2.872     0.914     0.740     0.392     0.244     0.583
PRT  1973     2.757     0.881     0.697     0.398     0.226     0.555
PRT  1974     2.513     0.847     0.642     0.348     0.191     0.485
PRT  1975     2.395     0.842     0.607     0.321     0.184     0.442
PRT  1976     2.531     1.060     0.631     0.283     0.164     0.394
PRT  1977     2.637     1.205     0.720     0.252     0.140     0.320
PRT  1978     2.408     1.108     0.686     0.247     0.121     0.246
PRT  1979     2.300     0.999     0.758     0.245     0.111     0.187
PRT  1980     2.299     0.955     0.808     0.259     0.113     0.164
PRT  1981     2.177     0.848     0.783     0.279     0.109     0.158
PRT  1982     2.080     0.836     0.722     0.276     0.106     0.139
PRT  1983     1.983     0.862     0.656     0.250     0.102     0.113
PRT  1984     2.080     0.978     0.643     0.248     0.105     0.106
PRT  1985     1.922     0.891     0.610     0.222     0.097     0.101
PRT  1986     1.923     0.878     0.633     0.226     0.094     0.091
PRT  1987     1.996     0.936     0.665     0.230     0.083     0.082
PRT  1988     1.940     0.958     0.632     0.199     0.078     0.073
PRT  1989     1.892     0.975     0.585     0.197     0.070     0.065
PRT  1990     1.920     0.993     0.605     0.200     0.067     0.055
PRT  1991     1.898     0.963     0.623     0.199     0.058     0.056
PRT  1992     1.824     0.931     0.601     0.174     0.065     0.054
PRT  1993     1.800     0.935     0.590     0.156     0.073     0.046
PRT  1994     1.771     0.919     0.592     0.163     0.054     0.043
PRT  1995     1.713     0.876     0.587     0.162     0.047     0.041
